Unnamed: 0,year,month,day,country,title,text,clean-text,hazard,clean-title,product
0,1994,5,5,us,Recall Notification: FSIS-017-94,"Case Number: 017-94   
            Date Opened: 05/05/1994   
            Date Closed: 07/25/1994 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  10001  M   
              Name:  KOEGEL MEATS
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  N/A
    
            City:  FLINT    
            State:  MI   
            Country:  DENMARK - USA
    
            Product:  HAM, COOKED, SLICED
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  844   
            Pounds Recovered:  806",case number 01794 date opened 05051994 date closed 07251994 recall class 1 press release yn y domestic est number 10001 m koegel meats imported product yn y foreign estab number na city flint state mi country denmark usa product ham cooked sliced problem bacteria description listeria total pounds recalled 844 pounds recovered 806,listeria monocytogenes,recall notification fsis01794,ground beef
1,1994,5,12,us,Recall Notification: FSIS-048-94,"Case Number: 048-94   
            Date Opened: 12/05/1994   
            Date Closed: 04/03/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  06032  M   
              Name:  COLUMBUS SALAME
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  S. SAN FRANCISCO    
            State:  CA   
            Country:  USA
    
            Product:  DRY SALAMI
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  10,000   
            Pounds Recovered:  1,944",case number 04894 date opened 12051994 date closed 04031995 recall class 1 press release yn y domestic est number 06032 m columbus salame imported product yn n foreign estab number na city s san francisco state ca country usa product dry salami problem bacteria description e coli o157h7 total pounds recalled 10000 pounds recovered 1944,escherichia coli,recall notification fsis04894,ground beef
2,1995,4,16,us,Recall Notification: FSIS-032-95,"Case Number: 032-95   
            Date Opened: 09/15/1995   
            Date Closed: 09/21/1995 
    
            Recall Class:  N   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  00009  P   
              Name:  CONAGRA
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MARSHALL    
            State:  MO   
            Country:  USA
    
            Product:  COOKED CHICKEN
    
            Problem:  HEPATITIS A   
            Description: HEPATITIS A
    
            Total Pounds Recalled:  0   
            Pounds Recovered:  0",case number 03295 date opened 09151995 date closed 09211995 recall class n press release yn n domestic est number 00009 p conagra imported product yn n foreign estab number na city marshall state mo country usa product cooked chicken problem hepatitis description hepatitis total pounds recalled 0 pounds recovered 0,enteroviruses,recall notification fsis03295,ground beef
3,1998,7,16,ca,"Archive - ALLERGY ALERT -- PRESENCE OF UNDECLARED PEANUT IN PLANTERS ROASTED SUNFLOWER SEEDS, SALTED","PRESENCE OF UNDECLARED NUTS IN ORIGINALE AUGUSTIN BRAND FRENCH VANILLA ICE CREAM

OTTAWA, July 16, 1998 - The Canadian Food Inspection Agency is warning consumers with an allergy to nuts not to eat Originale Augustin brand French Vanilla Ice Cream sold in 2-litre containers with the Lot Number 1258 embossed on the bottom of the container. The Ice Cream has been found to contain pecans which have not been declared on the label.

The product has been distributed in Quebec only.

Consumption of this ice cream is of concern to those who are allergic to nuts. There have not been any reported illnesses associated with this product.

The distributor, Les Aliments Lebel, of Lachute, Quebec is recalling the affected product from the marketplace. The Canadian Food Inspection Agency is monitoring the effectiveness of the recall.

-30-

For more information, contact:

John Wakelin
Canadian Food Inspection Agency, Ottawa
(613) 225-2342, ext. 4722
After hours (pager): (613) 364-51970",presence undeclared nuts originale augustin brand french vanilla ice cream ottawa july 16 1998 canadian food inspection agency warning consumers allergy nuts eat originale augustin brand french vanilla ice cream sold 2litre containers lot number 1258 embossed container ice cream contain pecans declared label product distributed quebec consumption ice cream concern allergic nuts reported illnesses associated product distributor les aliments lebel lachute quebec recalling affected product marketplace canadian food inspection agency monitoring effectiveness recall 30 information contact john wakelin canadian food inspection agency ottawa 613 2252342 ext 4722 hours pager 613 36451970,pecan nut,archive allergy alert presence undeclared peanut planters roasted sunflower seeds salted,sunflower seed
4,1998,8,6,us,Recall Notification: FSIS-018-98,"Case Number: 018-98  Recall Notification Report:   
            RNR018-98
    
            Date Opened: 06/08/1998   
            Date Closed: 02/24/1999 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  07156  P   
              Name:  Tyson Foods
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Hope    
            State:  AR   
            Country:  USA
    
            Product:  Chicken, Nuggets, Breast Filet
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: METAL
    
            Total Pounds Recalled:  126,240   
            Pounds Recovered:  5,335",case number 01898 recall notification report rnr01898 date opened 06081998 date closed 02241999 recall class 2 press release yn n domestic est number 07156 p tyson foods imported product yn n foreign estab number na city hope state ar country usa product chicken nuggets breast filet problem extraneous material description metal total pounds recalled 126240 pounds recovered 5335,metal fragment,recall notification fsis01898,ground beef
5,1998,11,11,au,Woolworths Limited—Jumbo White Sandwich Bread,"PRA No. 1998/3705 Date published 11 Nov 1998 Product description Woolworths Thick Sliced White And Jumbo Bread 900gm. Use By Date 11/11/98. Plastic Packaging. Sold In Northern Nsw - Lismore, Grafton, Ballina, Casino, Tweed Heads, Byron Bay; And Qld - Brisbane Metro/gold Coast Up To Rockhampton Area. What are the defects? Possible Foreign Matter Contamination (nylon Cord). What are the hazards? Contamination What should consumers do? Return To Woolworths For Refund. Supplier Woolworths Ltd Where the product was sold New South Wales Queensland Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Bakery × Close",pra 19983705 date published 11 nov 1998 product description woolworths sliced white jumbo bread 900gm use date 111198 plastic packaging sold northern nsw lismore grafton ballina casino tweed heads byron bay qld brisbane metrogold coast rockhampton area defects possible foreign matter contamination nylon cord hazards contamination consumers return woolworths refund supplier woolworths product sold new south wales queensland coordinating agency food standards australia new zealand coordinating agency recall product category bakery close,plastic fragment,woolworths limitedjumbo white sandwich bread,bread
6,1999,10,27,au,Murrumbidgee Dairy Products—Riverina milk products,"PRA No. 1999/4127 Date published 27 Oct 1999 Product description Fresh Low Fat Modified Milk, Fresh Reduced Fat Modified Milk, Fresh Milk, Flavoured Milk Coffee And Chocolate, Funny Bones Banana Flavoured Milk - Use By Date 31 October 1999; And Fresh Vanilla Custard - Use By Date 17 November 1999. Distribution NSW/ACT Identifying features N/A What are the defects? May Contain Listeria Bacteria. This Bacteria Can Cause Serious Illness In Pregnant Women, The Elderly, Young Babies And People With Low Immune Systems. What are the hazards? Contamination What should consumers do? Immediately Dispose Of The Products. Customers Should Advise The Toll Free Customer Relations Number 1800 816 773 Of The Batch And Time Code On These Products. Supplier Murrumbidgee Dairy Products Where the product was sold Australian Capital Territory New South Wales Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Eggs and dairy × Close",pra 19994127 date published 27 oct 1999 product description fresh low fat modified milk fresh reduced fat modified milk fresh milk flavoured milk coffee chocolate funny bones banana flavoured milk use date 31 october 1999 fresh vanilla custard use date 17 november 1999 distribution nswact identifying features na defects contain listeria bacteria bacteria cause illness pregnant women elderly young babies people low immune systems hazards contamination consumers immediately dispose products customers advise toll free customer relations number 1800 816 773 batch time code products supplier murrumbidgee dairy products product sold australian capital territory new south wales coordinating agency food standards australia new zealand coordinating agency recall product category eggs dairy close,milk and products thereof,murrumbidgee dairy productsriverina milk products,milk
7,2000,8,23,au,Brown Brothers—1999 Moscato Wine,PRA No. 2000/4412 Date published 23 Aug 2000 Product description Batch Code: L20000321 - etched into glass below label & on cartons. 750ml glass bottle with tin foil capsule over cork. What are the defects? Possibility of re-fermentation which may result in the cork popping and causing damage to property or person. What are the hazards? Injury What should consumers do? Return to place of purchase for an immediate full cash refund. For further information call toll free number 1800 648 916. Supplier Brown Brothers Milawa Vineyard Pty Ltd Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Drinks × Close,pra 20004412 date published 23 aug 2000 product description batch code l20000321 etched glass label cartons 750ml glass bottle tin foil capsule cork defects possibility refermentation result cork popping causing damage property person hazards injury consumers return place purchase immediate cash refund information toll free number 1800 648 916 supplier brown brothers milawa vineyard pty product sold nationally coordinating agency food standards australia new zealand coordinating agency recall product category drinks close,glass fragment,brown brothers1999 moscato wine,wine
8,2000,8,23,au,Dairy Farmers—Shred Heads Natural Cheese Sticks,PRA No. 2000/4411 Date published 23 Aug 2000 Product description 20g. Sold in packets of 8 or 4 sticks. Use by dates from 19 Sept to 6 Dec 2000 inclusive. Distributed via all major retail outlets. What are the defects? May contain small pieces or rigid plastic. What are the hazards? Contamination. What should consumers do? Return to place of purchase for a full refund. For further enquiries ring toll free number 1800 998 870. Supplier Dairy Farmers Where the product was sold Nationally Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Eggs and dairy × Close,pra 20004411 date published 23 aug 2000 product description 20g sold packets 8 4 sticks use dates 19 sept 6 dec 2000 inclusive distributed major retail outlets defects contain small pieces rigid plastic hazards contamination consumers return place purchase refund enquiries ring toll free number 1800 998 870 supplier dairy farmers product sold nationally coordinating agency food standards australia new zealand coordinating agency recall product category eggs dairy close,plastic fragment,dairy farmersshred heads natural cheese sticks,cheese
9,2000,10,31,au,F. Mayer Imports—Royal Line Chilled Smoked Salmon,"PRA No. 2000/4515 Date published 31 Oct 2000 Product description 100g Pack. Use by date 5/11/00. Lot Code 5CF4EO. Danish Supplier: Dansti. Danish manufacturer: Nopalax. Product distributed via Woolworths. What are the defects? Testing of the product has detected the presence of Listeria, which may cause illness in pregnant women, the very young, the elderly and people with low immune systems. What are the hazards? Contamination. What should consumers do? Return the product to the point of purchase for an immediate full cash refund. For further information call Freecall 1800 55 66 55. Supplier F. Mayer Imports Where the product was sold Australian Capital Territory New South Wales Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Chilled and frozen × Close",pra 20004515 date published 31 oct 2000 product description 100g pack use date 51100 lot code 5cf4eo danish supplier dansti danish manufacturer nopalax product distributed woolworths defects testing product detected presence listeria cause illness pregnant women young elderly people low immune systems hazards contamination consumers return product point purchase immediate cash refund information freecall 1800 55 66 55 supplier f mayer imports product sold australian capital territory new south wales coordinating agency food standards australia new zealand coordinating agency recall product category chilled frozen close,listeria monocytogenes,f mayer importsroyal line chilled smoked salmon,salmon
